,abs standard deviation,district type,jurisdiction,max abs difference,mean abs difference,mean blocks per dist,mean pop per dist 2010,num of districts,state
0,0.4585788409893684,City,Cochise Bisbee,1.5167930660888407,1.173640326931829,117.0,1858.3333333333333,3.0,AZ
1,0.022196807418194582,County Comm,Gila Comm,0.10362097749122101,0.07870263034630348,1659.6666666666667,17865.666666666668,3.0,AZ
2,1.2205897722057886,City,Gila Globe,3.7337662337662336,1.514719041895052,76.16666666666667,1255.3333333333333,6.0,AZ
3,0.1361576356906119,School District,Hanford Elem,0.6424706943192064,0.5080732767911198,240.2,8897.4,5.0,CA
4,0.8528695178617262,School District,Riverdale S.D.,4.102096627164995,2.486602444939956,93.85714285714286,1123.5714285714287,7.0,CA
5,0.5291438587343618,School District,Weaver S.D. (Merced County),1.460920379839299,0.8774092867879777,59.0,2895.0,5.0,CA
6,0.2880629993483401,County Comm,Hendry Comm,1.2302512302512303,0.927015103960667,513.4,7828.0,5.0,FL
7,0.2927807222940721,County Comm,Charles Mix Comm,1.185770750988142,0.897356255767189,545.0,3043.0,3.0,SD
8,0.4874565990558494,County Comm,Shannon Comm,1.2987012987012987,0.6351304650833,315.6,2717.2,5.0,SD
9,0.33698601285573476,County Comm,Todd Comm,0.8881922675026124,0.47416717985451884,177.8,1922.4,5.0,SD
10,1.430128573336442,City,Lytle,4.4921875,2.22911098264605,24.8,498.4,5.0,TX
11,3.8852365702453397,School District,Karnes City ISD,12.682926829268293,4.896266759920975,95.28571428571429,608.4285714285714,7.0,TX
12,0.4297226141159594,School District,San Antonio ISD,1.251319161766923,0.5721687528389137,98.14285714285714,6381.142857142857,7.0,TX
13,0.704349789575403,School District,Floresville ISD,2.4212271973466004,1.4198031036430818,125.0,3084.0,7.0,TX
14,0.6558237969815246,City,Alvin City,2.2557905337361532,1.0363363373769228,111.2,4787.4,5.0,TX
15,1.5561881557206099,Comm Ct/Cons/JP,Brewster Comm Ct/Cons/JP,3.9697542533081283,1.795610422650455,1130.0,3077.3333333333335,3.0,TX
16,0.267090754183917,Comm Ct/JP,Caldwell Comm Ct/JP,0.7919920800791992,0.38364601245613034,672.5,9516.5,4.0,TX
17,0.12456786176556159,School District,Hayes ISD,0.3787878787878788,0.1919773929212785,258.6,13499.4,5.0,TX
18,0.34419005198626795,School District,Lockhart ISD,1.3888888888888888,1.0461620514209362,284.25,5666.25,4.0,TX
19,1.4102416543441954,City,Luling,4.131455399061033,1.946964706616648,89.4,1082.2,5.0,TX
20,1.3893671261459493,City,Dimmitt City,3.7453183520599254,1.7746811003886585,156.28571428571428,788.2857142857143,7.0,TX
21,1.9199917822074761,Comm Ct/Cons/JP,Concho Comm Ct/Cons/JP,6.991869918699186,4.725314097651809,301.0,632.75,4.0,TX
22,1.29273481820482,School District,Ralls ISD,6.595744680851063,5.096846118164313,132.0,466.8,5.0,TX
23,0.9400508078082865,Comm Ct/Cons/JP,Dawson Comm Ct/Cons/JP,2.557108762359359,1.318313115820951,704.25,2940.25,4.0,TX
24,2.2511773253818803,City,Spur,10.882352941176471,7.728539613332548,46.333333333333336,335.3333333333333,3.0,TX
25,0.21123227754511384,Comm Ct/Cons/JP,Gaines Comm Ct/Cons/JP,0.8912655971479502,0.6496179122319881,739.5,4381.5,4.0,TX
26,0.0,Cons/JP,Galviston Cons/JP,0.4137360364087712,0.4137360364087712,1919.0,2417.0,1.0,TX
27,0.7898560737637809,Groundwater,Guadalupe Groundwater Dists,2.3674911660777385,1.0567645323712396,236.42857142857142,5798.714285714285,7.0,TX
28,0.0,Comm Ct/Cons/JP,Hale Comm Ct/Cons/JP,0.2215770171149144,0.2215770171149144,1732.0,13088.0,1.0,TX
29,0.9232946344346397,School District,Plainview ISD,3.263871453678132,1.4575718872978756,267.42857142857144,3863.285714285714,7.0,TX
30,0.3111068478393807,City,Kyle City,1.3468938977460143,0.9181718161637503,151.66666666666666,9712.0,3.0,TX
31,0.5934314598789641,Comm Ct/Cons/JP,Hockley Comm Ct/Cons/JP,1.810829817158931,0.8966543286170898,1073.75,5733.75,4.0,TX
32,0.7349445707866317,Comm Ct/Cons/JP,Howard Comm Ct/Cons/JP,2.2902832362108687,1.3529548218760858,679.75,7356.75,4.0,TX
33,0.312565211736071,Comm. Court,Karnes Comm Ct,0.8849557522123894,0.4478387660902,377.0,2890.0,4.0,TX
34,0.44742291151504626,Comm. Court,Kleberg Comm Ct,1.4126765845730715,0.8015651116492369,0.0,8015.25,4.0,TX
35,0.35822395009321784,Comm Ct/Cons/JP,Moore Comm Ct/Cons/JP,1.0435737824972537,0.6690439003850434,480.5,5476.0,4.0,TX
36,0.9264058172930209,School District,Daingerfield-Lone Star ISD,2.8901734104046244,1.2982328637283909,128.6,1702.8,5.0,TX
37,0.7805556463565835,City,Sweetwater,2.04828090709583,0.8752210527133367,196.5,2726.5,4.0,TX
38,0.5152084636399744,Comm. Court,Ochiltree Comm Ct,1.9238319591676483,1.2035797533127244,224.0,2555.75,4.0,TX
39,0.9491419630909163,Hospital,Reagan Hospital Dist,3.587962962962963,2.0068157406942078,295.75,841.75,4.0,TX
40,2.8057936511150845,School District,Sterling ISD,9.210526315789473,4.9079178000925126,200.0,228.6,5.0,TX
41,0.576354078518546,School District,Sonora IDS,2.3032629558541267,1.703629585785494,306.0,1032.0,4.0,TX
42,1.1636196253172677,City,Tulia City,3.2169117647058822,2.1345360984986033,65.25,1090.0,4.0,TX
43,1.097842614237238,Comm Ct/Cons/JP,Terry Comm Ct/Cons/JP,3.3367381681988424,2.02146814278525,572.0,2946.25,4.0,TX
44,0.0,Comm Ct/Cons/JP,Titus Comm Ct/Cons/JP,0.14884644008930786,0.14884644008930786,832.0,8062.0,1.0,TX
45,3.2769963722583193,Comm Ct/Cons/JP,Upton Comm Ct/Cons/JP,8.92018779342723,5.362135486702892,526.5,838.75,4.0,TX
46,0.6024707212013234,City,Wharton City,1.724941724941725,0.7926506713927999,141.0,2208.0,4.0,TX
